ID,Image,Description,Geolat,Geolng,Name,Address
1,,"The Egyptian Museum is the oldest archaeological museum in the Middle East, and houses the largest collection of Pharaonic antiquities in the world. The museum displays an extensive collection spanning from the Predynastic Period to the Greco-Roman Era.",,,The Egyptian Museum In Cairo,Cairo
2,,"Its unusual moniker comes from the fact that it's built on top of the gates of an old Roman fortress. Located within Old Coptic Cairo (Masr al-Qadima) in what was ancient Egypt's Heliopolite Nome, the Hanging Church is just a stone's throw from the famous Babylon Fortress",,,The Hanging Church,Cairo
3,,"According to local folklore, it is located on the site where baby Moses was found. This was the synagogue whose geniza or store room was found in the 19th century to contain a treasure of forgotten, stored-away Hebrew, Aramaic and Judeo-Arabic secular and sacred manuscripts.",,,Ben Ezra Synagogue,Cairo
4,,"The original structure was the first mosque ever built in Egypt and the whole of Africa. For 600 years, the mosque was also an important center of Islamic learning until Al-Muizz's Al-Azhar Mosque in Islamic Cairo replaced it. Through the twentieth century, it was the fourth largest mosque in the Islamic world.",,,Amr Ibn Al-Aas Mosque,Cairo
5,,"While Saint Barbara's Church has been a long-lasting example of ancient Coptic architecture, it resembles the shape of ancient basilicas. It comprises an entrance, a narthex, a long nave, several aisles and three sanctuaries.",,,St. Barbara Church,Cairo
6,,"The Coptic Museum houses the largest collection of Coptic artifacts in the world and was inaugurated in 1910. The museum was established through the efforts of Marcus Simaika Pasha, a prominent Coptic figure who was vested in the preservation of Coptic heritage.",,,Coptic Museum,Cairo
7,,"Once completed, the pyramid was considered to be a success, as it was a fully constructed, smooth sided, and a free standing pyramid rising to a height of 341 feet (104 meters), with an angle of 43 degrees.",,,Dahshur Pyramids,Giza
8,,"The Giza Plateau of Egypt, located about 15 miles southwest of modern Cairo, is one of the most important and famous archaeological sites in the world. It is home to the Great Pyramid, the only one of the Seven Wonders of the Ancient World still standing.",,,Giza Plateau,Giza
9,,"Located south of Cairo, Saqqara was the vast necropolis of the Ancient Egyptian capital, Memphis, and is home to the nation's oldest pyramid: the Step Pyramid of Djoser. Aside from being home to Egypt's oldest pyramid, Saqqara is the largest archaeological site in the country.",,,Saqqara,Giza
10,,"The Citadel of Saladin, known colloquially in English as the Cairo Citadel, is strategically located on a promontory beneath the Mokattam Mountain that made it difficult to attack. It was considered the most impressive and ambitious military fortification at the time of its construction.",,,Citadel of saladin cairo,Cairo
11,,"The Museum houses a unique collection, of which the most notable are various sizes and types of royal carriages, one of the most distinguished objects in the Museum is the grand Alay Carriage, which is characterized by its finest workmanship and elaborate decoration.",,,The Royal Carriages Museum,Cairo
12,,"The Palace is also characterized by its exquisite Italian, Turkish, and French designs and decorations as well as a collection of rare paintings and pieces of furniture decorated with gold. One of the richest museums, the sons and grandsons of Khedive Ismail took care of and preserved it.",,,Abdeen Palace,Cairo
13,,"The Museum of Islamic Art contains one of the largest and most extensive collections of Islamic artifacts in the world. The idea of collecting and display the grand collection of artifacts began in 1880 AD. Eventually the building was established and inaugurated in 1903 AD, during the region of Khedive Abbas Helmy ll.",,,Museum of Islamic Art,Cairo
14,,"The NMEC is the first of its kind in Egypt and the Arab world. It presents the full range of the richness and diversity of Egyptian civilization throughout the ages, from prehistoric times to the present day by focusing on its continuity and stability as demonstrated by its tangible and intangible heritage.",,,National Museum of Egyptian Civilization(NMEC),Cairo
15,,"Baron Empain's palace, with its Indian style and tower, stands out in the desert landscape, distinct from the rest of the city. The palace reflects the high status of its owner and marks a major milestone in the urban landscape of Heliopolis.",,,Baron Empain Palace,Cairo
16,,"Cairo Tower, is a free-standing concrete tower in Cairo, Egypt. At 187 m (614 ft), it has been the tallest structure in Egypt and North Africa for about 50 years. It was the tallest structure in Africa for ten years until 1971, when it was surpassed by Hillbrow Tower in South Africa.",,,Cairo Tower,Cairo
17,,"
Khan El Khalili bazaar is the oldest market of the middle east for Cheap Egpytian gifts, this huge Cairo bazaar located in the center of Islamic Cairo, the bazaar attracts foreign tourists and Egyptians alike, housing a lot of mini bazaars and traditional coffee shops, the market inspires many through the ages such as the Egyptian intellectual author Nageeb Mahfouz who wrote some of his famous novels in the street of khan El Khalili.",,,Khan el-Khalili,Cairo
18,,"Bayt Al-Suhaymi (""House of Suhaymi"") is a Traditional Egyptian Islamic themed house and museum in Cairo, Egypt. It was originally built in 1648 by Abdel Wahab el Tablawy along the Darb al-Asfar, a very prestigious and expensive part of Islamic Cairo.",,,Bayt Al-Suhaymi,Cairo
19,,"The main building was similar to a mosque, having four ceilings surrounding a huge fountain as if it were a mosque courtyard. It was a rare architectural masterpiece, combining architecture and arts of the Western and Islamic worlds.",,,Muhammad Ali Pasha Palace,Cairo
20,,"It was built by Muhammad Ali Pasha in 1265 AH\ 1848 AD on the site of Mamluk palaces. This mosque is known as the ""Alabaster Mosque"", in reference to its marble paneling on its interior and exterior walls. The mosque's twin minarets are the highest in all of Egypt, each reaching a height of 84 meters.",,,Muhammad Ali Mosque,Cairo
21,,"It represents the story of the Egyptian people's opposition and victory in one of the Egyptian Armed Forces most significant battles in history, via a museum display scenario which documents the phases before, during, and after October War, using various museum displays suitable for all ages.",,,October War Panorama Museum,Cairo
22,,"After its dedication in 972, and with the hiring by mosque authorities of 35 scholars in 989, the mosque slowly developed into what is today the second oldest continuously run university in the world after Al-Qarawiyyin in Idrisid Fes.",,,Al-Azhar Mosque,Cairo
23,,"Commissioned by the Mamluk Sultan of Egypt An-Nasir Hassan and completed in 1359, it was an impressive architectural achievement for its time. At 150 meters (492 feet) in length, with its tallest minaret towering 68 meters (223 feet) above Cairo's old city, it's one of the largest mosques in the world.",,,Sultan Hassan Mosque,Cairo
24,,"It is one of the oldest mosques in Egypt as well as the whole of Africa surviving in its full original form, and is the largest mosque in Cairo in terms of land area. It is built around an open square courtyard which allows natural light to travel through.",,,Mosque of Ibn Tulun,Cairo
25,,Aisha Fahmy Palace is a rare masterpiece with stunning architecture that makes visitors feel like they travelled backwards in time. This beautiful historic gem in Cairo nowadays hosts mainly art exhibitions like textiles and fine art paintings.,,,Aisha Fahmy Palace,Cairo
26,,The Grand Egyptian Museum is the world's largest museum dedicated to a single civilization. The collection consisting of King Tut's tomb and tens of thousands of other rare and unique archaeological finds has found a new home in a museum built on the plateau of the pyramids of Giza.,,,The Grand Egyptian Museum,Giza
27,,"The Pharaonic Village is an open-air museum located in Cairo, Egypt. It is a unique and fascinating attraction that provides visitors with a glimpse into the ancient world of the Pharaohs. The village is home to a variety of replicas of ancient Egyptian monuments, including temples, tombs, and pyramids.",,,Pharaonic Village,Giza
28,,The solar boat that was discovered in the year 1954 near the Great Pyramid of Giza consists of 1224 pieces of wood. The boat is 44 meters long and around 5.9 meters wide and it has 12 paddles. A compartment that stands upon three circular columns is located at the stern of the solar boat.,,,Solar Boat Museum,Giza
29,,"The first of its kind in the Middle East, it houses a rare collection of ceramics acquired from different Islamic countries that represent various techniques of decoration applied in the Islamic world from Morocco in the west to Iran in the east.",,,The Museum of Islamic Ceramics,Giza
30,,They have a huge collection of papyrus both for Egyptian history and Arabic/Islamic Choreography. They also have a few collections written in phosphorus where you'll get different designs/shapes in the dark . Glad to have the little demonstration on how papyrus is being prepared by Cutting the stalks.,,,Egypt Papyrus Museum,Giza
31,,"Bahariya is one of the more fetching of the desert circuit oases, and at just 365km from Cairo it's also the most accessible. Much of the oasis floor here is covered by sprawling shady date palms and speckled with dozens of natural springs, which beg to be plunged into.",,,Bahariya Oasis,Giza
32,,"exhibits depict Egypt's field crops, horticultural and garden plants, and popular agricultural machinery. The first floor specializes in grain crops such as wheat, barley, corn, and rice, and also has a room on onions and garlic.",,,Agricultural Museum,Giza
33,,"The Abusir pyramid complex is located on the Western Desert plateau at the edge of the cultivated plain, with the Giza Pyramids to its north, and Saqqara to its south, and served as one of the main elite cemeteries for the ancient Egyptian capital city of Memphis.
",,,Abusir Area,Giza
34,,"The only remaining evidence of Memphis is this noteworthy open-air museum, built around a magnificent fallen colossal limestone statue of Ramses II. Its position on its back gives a great opportunity to inspect the carving up close â€“ even the pharaoh's nipples are very precise.",,,Mit Rahina Museum,Giza
35,,,,,aboo,
